23,Video,מתמטיקה/חשבון יסודי וקדם-אלגברה/חיבור וחיסור/שאלות מילוליות בחיבור וחיבור,subtraction-word-problem,u01_l2_t2_we3 Subtraction Word Problem,http://www.youtube.com/watch?v=QY8vv7eVVJE,http://www.youtube.com/watch?v=QY8vv7eVVJE,
24,Exercise,מתמטיקה/חשבון יסודי וקדם-אלגברה/חיבור וחיסור/שאלות מילוליות בחיבור וחיבור,arithmetic_word_problems_1,Word problems with addition and subtraction of positive integers. Some carrying and borrowing.,,,
25,Exercise,מתמטיקה/חשבון יסודי וקדם-אלגברה/חיבור וחיסור,addition-subtraction,,,,
26,Video,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/נפלאות הכפל,basic-multiplication,"basic multiplication
כפל פשוט",http://www.youtube.com/watch?v=gdxkMiKQQso,http://www.youtube.com/watch?v=mvOkMYCygps,True
27,Exercise,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/נפלאות הכפל,multiplication_0.5,"Multiply 1-digit numbers by 0, 1, 2, 3, 5, or 10.",,,
28,Video,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/נפלאות הכפל,multiplication-2--the-multiplication-tables,"כפל - 2 - לוחות הכפל
Multiplication 2 The Multiplication Tables",http://www.youtube.com/watch?v=fzfT2ekU0nU,http://www.youtube.com/watch?v=xO_1bYgoQvA,True
29,Video,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/נפלאות הכפל,multiplying-whole-numbers-and-applications-1,U01_L3_T1_we1 Multiplying Whole Numbers and Applications 1,http://www.youtube.com/watch?v=Yw3EoxC_GXU,http://www.youtube.com/watch?v=Yw3EoxC_GXU,
30,Exercise,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/נפלאות הכפל,multiplication_1,Multiply two 1-digit numbers. Some problems include multiplying by 10.,,,
31,Video,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/נפלאות הכפל,multiplication-3--10-11-12-times-tables,"הכפלה 3 - לוח הכפל ב 10 , 11, 12
Multiplication 3 101112 times tables",http://www.youtube.com/watch?v=kBSwFTTssDA,http://www.youtube.com/watch?v=qihoczo1Ujk,True
32,Video,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/נפלאות הכפל,multiplying-whole-numbers-and-applications-6,U01_L3_T1_we6 Multiplying Whole Numbers and Applications 6,http://www.youtube.com/watch?v=bS6EmYzpou4,http://www.youtube.com/watch?v=bS6EmYzpou4,
33,Video,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/החילוק החביב,division-1,"חילוק 1
Division 1",http://www.youtube.com/watch?v=ZHjeBrnoM60,http://www.youtube.com/watch?v=MTzTqvzWzm8,True
34,Exercise,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/החילוק החביב,division_0.5,"Divide by 1, 2, 3, 5, 10. No remainders",,,
35,Video,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/החילוק החביב,division-2,"חילוק 2
Division 2",http://www.youtube.com/watch?v=lX95Od8dRj0,http://www.youtube.com/watch?v=8Ft5iHhauJ0,True
36,Exercise,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/החילוק החביב,division_1,,,,
37,Video,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/החילוק החביב,dividing-whole-numbers-and-applications-1,U01_L3_T2_we1 Dividing Whole Numbers and Applications 1,http://www.youtube.com/watch?v=4I9iibPLdBw,http://www.youtube.com/watch?v=4I9iibPLdBw,
38,Exercise,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/החילוק החביב,arithmetic_word_problems_2,Word problems with multiplication and division of positive numbers.,,,
39,Video,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/The distributive property,the-distributive-property,The distributive property,http://www.youtube.com/watch?v=CrixvMEcyU4,http://www.youtube.com/watch?v=gl_-E6iVAg4,True
40,Video,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/The distributive property,the-distributive-property-2,"U01_L4_T2_we2 The Distributive Property 2
תכונות הפילוג 2
",http://www.youtube.com/watch?v=d8ZvXsfs6eY,http://www.youtube.com/watch?v=Badvask-UDU,True
41,Video,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/The distributive property,distributive-property-example-1,"חוק הפילוג - דוגמא 1
Distributive Property example 1
ck12 Distributive Property example",http://www.youtube.com/watch?v=OpTYet5u6i0,http://www.youtube.com/watch?v=ewEorPD4kdA,True
42,Exercise,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/The distributive property,distributive_property,,,,
43,Video,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/Order of operations,introduction-to-order-of-operations,"מה עושים קודם: חיבור או כפל, חיסור או חזקה ומה חשיבות הסוגריים
Introduction to Order of Operations",http://www.youtube.com/watch?v=qJIj8aoCkCI,http://www.youtube.com/watch?v=ClYdw4d4OmA,True
44,Video,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/Order of operations,order-of-operations-example,Order of Operations,http://www.youtube.com/watch?v=uYtl1d9eOhs,http://www.youtube.com/watch?v=3Po3nfITsok,True
45,Video,מתמטיקה/חשבון יסודי וקדם-אלגברה/כפל וחילוק/Order of operations,order-of-operations-1,U09_L4_T1_we1 Order of Operations,http://www.youtube.com/watch?v=gjrGd9TjjnY,http://www.youtube.com/watch?v=gjrGd9TjjnY,
